,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
0,NULL,Sim-Free,NULL,Bundle,Samsung Galaxy Z Fold4,15,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Samsung Galaxy Z Fold4,144,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Samsung Galaxy Z Fold4,150,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Samsung Galaxy Z Fold4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Samsung Galaxy Z Flip3,15,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Samsung Galaxy Z Flip3,144,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Samsung Galaxy Z Flip3,50,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Samsung Galaxy Z Flip3,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Samsung Galaxy Z Flip4,15,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Samsung Galaxy Z Flip4,144,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
